offset,x,y,z,additional_values
0x200000,100,0,0,0|0|0|0|0
0x200010,23,0,0,0|0|0|0|3840
0x2000a0,5398,5396,5910,5911|5398|5910|5911|5911
0x2000b0,5911,5911,5911,5911|5911|5911|5655|26390
0x200100,100,0,0,0|0|0|0|0
0x200110,23,0,0,0|0|0|0|3840
0x2001a0,5654,5397,5910,5911|5398|5910|5911|5911
0x2001b0,5911,5911,5911,5911|5911|5911|5911|25879
0x2001c0,5396,4627,4369,4369|4369|4369|4625|25106
0x200200,99,0,0,0|0|0|0|0
0x200210,23,0,0,0|0|0|0|3840
0x200280,5911,5911,5911,5911|5911|5911|5911|5911
0x200290,5911,5911,5911,5911|5911|5911|5911|5911
0x2002a0,5655,5397,5654,5911|5654|5910|5911|5911
0x2002b0,5911,5911,5911,5911|5911|5911|5911|5911
0x200310,0,0,0,0|0|0|0|3840
0x200380,5911,5911,5911,5911|5911|5911|5911|5911
0x200390,5911,5911,5911,5911|5911|5911|5911|5911
0x2003a0,5655,5398,5654,5911|5654|5911|5911|5911
0x2003b0,5911,5911,5911,5911|5911|5911|5911|5911
0x200410,0,0,0,0|0|0|0|3840
0x200480,5911,5911,5911,5911|5911|5911|5911|5911
0x200490,5911,5911,5911,5911|5911|5911|5911|5911
0x2004a0,5911,5398,5653,5911|5655|5911|5911|5911
0x2004b0,5911,5911,5911,5911|5911|5911|5911|5911
0x2004d0,4920,5397,5142,5652|25701|25187|25442|25442
0x200500,98,0,0,0|0|0|0|0
0x200510,0,0,0,0|0|0|0|3840
0x200580,5911,5911,5911,5911|5911|5911|5911|5911
0x200590,5655,5654,5654,5911|5911|5911|5911|5911
0x2005a0,5911,5654,5653,5911|5655|5911|5911|5911
0x2005b0,5911,5911,5911,5911|5911|5911|5911|5911
0x2005d0,5394,5910,5655,5910|25445|25699|25444|25442
0x200610,0,0,0,0|0|0|0|3840
0x200680,5911,5911,5911,5911|5911|5911|5911|5911
0x200690,5654,5654,5654,5654|5911|5911|5911|5911
0x2006a0,5911,5655,5397,5910|5911|5911|5911|5911
0x2006b0,5911,5911,5911,5911|5911|5911|5911|5911
0x2006d0,5398,5909,5911,5911|25956|25701|25187|25443
0x200710,0,0,0,0|0|0|0|3840
0x200780,5911,5911,5911,5911|5911|5911|5911|5654
0x200790,5654,5654,5654,5654|5911|5911|5911|5911
0x2007a0,5911,5655,5397,5910|5911|5911|5911|5911
0x2007b0,5911,5911,5911,5911|5911|5911|5911|5911
0x2007c0,5911,5911,5142,14869|15420|15420|4883|5652
0x2007d0,5399,5910,5911,5911|25700|25701|25187|25443
0x200810,0,0,0,0|0|0|0|3840
0x200880,5911,5911,5911,5911|5911|5911|5911|5654
