offset,x,y,z,additional_values
0x900000,5645,6137,0,-11765|-24496|-192|-765|-3296
0x900030,-2806,7455,0,24277|21934|-7429|11299|16818
0x900040,-3331,-224,0,8688|-3329|303|24272|-9500
0x900070,256,3073,16,11446|-12255|4112|225|-22963
0x9000b0,-4079,16,263,14062|542|0|0|0
0x9000c0,0,0,1792,30583|30583|30583|30583|30583
0x9000e0,0,0,1043,0|0|-3088|-4531|7474
0x900110,-7219,4159,0,-226|7908|11776|5359|-3553
0x900120,-4067,-192,0,3523|7970|-7439|3867|1010
0x900130,6704,1231,0,16111|-7409|-988|4398|4883
0x900140,8177,-193,1,-15084|16638|1308|-5137|-13
0x900180,284,5345,51,16625|15680|-28668|-33|-241
0x900190,-198,-7728,35,1474|18987|3918|-2892|-8175
0x9001a0,7198,-7438,20,12032|-12210|-3903|17711|17250
0x9001b0,-7696,975,36,8417|20269|8720|-3808|-3102
0x9001c0,7695,-8180,36,210|-7937|12258|2874|-4113
0x9001f0,-4336,-255,36,-11792|-721|240|495|3630
0x900210,-3661,7678,20,-4099|-7714|4080|8447|8449
0x900230,4112,1009,21,27950|-11701|965|19822|-11037
0x900250,3071,3100,36,-2336|-2768|-11183|15686|23346
0x900280,4931,-976,35,-497|8689|4143|307|-3859
0x900290,3842,-8192,67,4624|4592|-207|-3853|-19
0x9002c0,4157,-3856,50,-3890|-5408|-12514|-4386|-12798
0x9002f0,-47,575,49,4908|-2578|-3055|800|11808
0x900300,-210,-2846,17,8450|3582|254|13294|21470
0x900320,-4351,-4624,66,21218|4287|-13549|-8654|-8126
0x900330,-7152,-197,66,-3313|766|-3553|-3825|4594
0x900370,4661,7374,67,-4001|-15680|12287|8531|-16707
0x9003b0,4319,260,67,-20222|15626|13859|-4067|465
0x9003c0,1,2816,66,-3858|546|12285|-3837|4351
0x9003d0,3041,-207,34,13358|-4382|16926|7889|16098
0x900460,-208,757,0,-273|-548|8961|17409|19713
0x900490,-7861,7731,0,4595|-11599|15930|-20690|-7710
0x900530,-900,-7757,0,19713|720|-3872|14|3554
0x900580,-4130,-7390,0,511|3363|-11056|23089|-261
0x9005a0,4387,-480,0,13026|16145|15918|-6702|8178
0x9005c0,8161,48,1,8451|8902|28398|25184|-15337
0x9005e0,242,4639,0,-255|8193|11823|4112|-7215
0x900600,-4293,4082,1,3|255|4417|12546|8755
0x900630,7892,-7421,1,4146|287|226|-7934|8189
0x900650,227,4112,1,11822|-15631|-3358|20001|3659
0x900690,3629,-7440,0,4081|16|4594|-3553|19505
0x9006a0,-6944,258,1,20258|-693|691|-16370|19682
0x900700,2881,498,4,-7969|-12562|-4388|-4884|-12803
0x900740,45,4143,20,-6913|-2637|24306|19292|767
0x900790,-4079,302,21,7952|-7470|289|4863|15138
0x9007a0,4608,-7666,22,-7979|-11532|31070|1004|-12274
0x9007b0,-3117,-451,7,-9520|-15951|2591|19726|-2850
0x9007d0,4097,-4081,23,7982|4094|-16097|3600|15843
0x900800,3855,3855,265,11|0|0|0|0
0x900810,0,0,1792,30583|30583|30583|30583|30583
0x900830,0,0,1030,256|-13299|10930|-4132|-11843
0x900860,-1499,-5131,1,3041|-19921|-8382|8242|-7679
0x9008b0,-1053,3568,0,4130|-3058|8161|4368|0
0x900900,0,-3600,4,3623|19488|11596|-4081|-7455
0x900910,-3599,4096,7,23403|7740|-7440|-7454|241
0x900920,7952,7967,11,-8134|-22619|-6986|12033|15934
0x900930,7982,-3840,11,-3599|1|4096|16|0
0x900940,-7935,-2863,1,0|0|4096|1|16382
0x900990,7951,7904,1,9137|-10771|49|-241|19281
0x900a80,1,-7183,0,-463|11536|8704|-2850|8716
0x900ad0,7635,526,0,12578|13026|-815|5133|4334
0x900b10,1500,-3523,0,8210|20722|4853|-11749|847
0x900b70,7698,3873,0,750|-12525|-207|-4046|-8163
0x900b80,-4081,-4334,0,-543|12067|8209|8947|3298
0x900b90,7918,4610,16,-3598|11278|-7889|8928|1009
0x900c00,5444,4578,0,-4849|-3824|8467|3662|-16387
0x900c10,400,7424,0,525|-1021|-3811|238|-8752
0x900c30,7521,4623,0,4834|8962|8257|-4062|8959
0x900c40,8178,240,16,288|-8132|-13|16083|-3765
0x900c50,-7694,-15,0,-17733|-5154|3790|8223|13843
0x900c90,339,7662,16,-7200|-8143|-8704|4323|-12710
0x900cb0,-7349,3635,0,496|-8196|7667|12273|3825
0x900cc0,-4321,4561,0,3345|7858|-12551|24514|17903
0x900d70,-35,5117,0,12575|16066|8605|-3572|-7904
0x900d80,-3588,5389,0,-11425|-206|256|765|814
0x900d90,-3790,766,16,-7877|-990|-13260|-747|20706
0x900dd0,273,4096,0,11712|-7921|-16320|-3793|8207
0x900ea0,3864,-2937,0,3122|4128|5118|15870|-7263
0x900ec0,1199,-991,0,12246|-20132|3632|1471|7182
0x900ed0,-4108,7263,0,-10304|15438|9184|478|-719
0x900ef0,4305,7923,0,-6836|23760|-11552|15588|-7330
0x900f20,-3734,7442,0,9667|-7861|11779|7908|-23251
0x900f40,-6913,3169,0,13268|-8162|-4049|15587|-19905
0x900f80,2769,4095,0,8433|-7649|3917|11968|-11777
0x900f90,-3869,4609,0,15917|-4290|-11761|8422|16626
0x900fb0,-7711,530,0,15885|-8702|-3087|16125|-16352
0x900fd0,7999,510,1,3329|16129|-16369|-19151|8674
0x900ff0,-4050,241,0,255|-15647|4353|15439|285
0x901010,3856,4143,1,-7998|8964|19472|4127|-6688
0x901030,4577,4387,2,13276|-16319|4414|4129|7925
0x901060,1292,2836,2,12574|-12219|8689|6595|354
0x901080,4626,31,2,-2992|542|-8637|-8687|-8943
0x9010b0,-4049,-7695,18,16159|4336|-3359|8973|-7924
0x9010d0,7694,-3549,3,17966|-16301|-8433|577|4843
0x9010f0,18,4385,3,-972|3265|8417|8636|4591
0x901120,4400,4338,19,558|9167|16911|28351|8910
0x901130,7875,7168,2,34|-12018|-11438|1067|-4050
0x901140,4845,-323,3,-8417|6845|4044|16048|176
0x901180,258,4367,3,-542|9502|8466|24578|21
0x9011b0,-238,241,3,-15839|24559|-4061|7150|-21162
0x9011f0,4304,-3345,3,4111|11999|7392|7635|-16367
0x901210,7680,4591,3,-7201|12800|20240|-3601|3345
0x901230,3872,226,4,-21460|-4571|-3282|-11237|8686
0x901280,-4159,259,4,7471|-4304|-15359|254|11807
0x901290,-7953,7633,4,7981|13555|-11567|-8895|-4789
0x9012d0,4142,-4128,4,481|12559|1009|-177|-11521
0x901300,4320,-4002,4,770|-3584|7712|-12000|4063
0x901310,-7474,-689,4,545|4399|1010|20497|12031
0x901320,4083,-511,4,-7470|11567|8190|-3870|-7918
0x901350,4161,3840,5,-3615|225|16400|-207|-3275
0x901390,-4324,7649,5,12577|4095|4048|-283|7712
0x9013a0,-3281,-7140,21,26019|19934|15376|-14673|15380
0x9013d0,335,4305,5,4098|-8416|-8116|-7713|4064
0x9013f0,3920,4593,5,7648|-7920|13315|4365|4111
0x901400,-8179,-3822,6,-3568|238|7645|3823|511
0x901410,5121,4370,5,11794|8224|-3838|4356|16625
0x901420,-3875,3597,5,7682|-11009|-462|-4833|-241
0x901490,-3600,-494,6,12546|286|7681|-3586|-3632
0x9014a0,7922,7998,6,13330|8737|4865|257|-4320
0x9014c0,-7443,-2816,22,7938|-7876|497|16143|16383
0x9014d0,-3901,3857,7,3649|-3872|4527|-1|-7620
0x9014f0,-7184,7922,7,4306|7489|-15825|-3565|8176
0x901510,4320,3571,8,3838|477|7932|8164|19
0x901520,-8190,-450,9,7901|4666|-4156|-11290|4140
0x901540,528,-4336,265,-256|15|496|17|-11791
0x901550,6,0,1792,30583|30583|30583|30583|30583
0x901570,0,0,1082,0|4096|4128|-8179|15889
0x901590,847,-1263,55,8688|4863|3840|4592|-11759
0x9015a0,3376,931,55,-4020|8179|-812|7666|243
0x9015d0,5405,-2052,38,8957|15812|12225|-3855|-495
0x901600,750,3792,53,-514|-4354|-16|3566|-1072
0x901650,5365,2833,17,12045|-11519|8145|319|-270
0x901670,-3313,4357,2,-1196|-20310|8709|-964|5376
0x9016c0,765,-4061,35,-8030|541|23410|-15666|-10799
0x9016f0,-3552,-3521,36,-9202|15811|12284|-496|7983
0x901780,-320,3805,68,-9217|-16625|-12464|-7632|21488
0x9017a0,-3299,442,67,8189|12050|-3804|-4303|7951
0x9017c0,-3807,-254,67,4847|287|3330|3635|-4014
0x9017d0,-7920,4333,67,-34|-3825|4623|4605|7951
0x901840,-4336,4657,65,-7858|798|12812|21211|24240
0x901880,-974,-7904,34,-2547|12545|20159|-16881|15648
0x901890,721,-3792,18,341|17985|-7987|-1042|3520
0x9018d0,220,-3860,18,-224|8211|-2495|3531|28640
