offset,x,y,z,additional_values
0x500000,0,3072,3744,0|0|0|0|4096
0x500010,0,3084,3710,0|0|0|0|4096
0x500020,0,3072,3687,0|0|0|0|4096
0x500030,0,3084,3653,0|0|0|0|4096
0x500040,0,3072,694,0|3|13|0|4096
0x500050,0,3072,625,0|3|13|0|4096
0x500060,0,3072,568,0|3|13|0|4096
0x500070,0,3072,500,0|3|13|0|4096
0x500080,0,3084,432,0|3|13|0|4096
0x500090,0,3084,375,0|3|13|0|4096
0x5000a0,0,3084,307,0|3|13|0|4096
0x5000b0,0,3084,250,0|3|13|0|4096
0x5000c0,0,3084,182,0|3|13|0|4096
0x5000d0,0,3084,113,0|3|13|0|4096
0x5000e0,3060,0,3402,0|0|11|0|4096
0x5000f0,3060,0,3596,0|0|11|0|4096
0x500100,3060,0,3789,0|0|11|0|4096
0x500110,3072,0,3983,0|0|11|0|4096
0x500120,3060,0,68,0|0|11|0|4096
0x500130,3060,0,250,0|0|11|0|4096
0x500140,3060,0,443,0|0|11|0|4096
0x500150,3060,0,637,0|0|11|0|4096
0x500160,3072,0,830,0|0|11|0|4096
0x500170,3072,0,1024,0|0|11|0|4096
0x500180,1024,0,3983,0|0|0|0|4096
0x500190,1024,0,3937,0|0|0|0|4096
0x5001a0,1024,0,3903,0|0|0|0|4096
0x5001b0,1024,0,3869,0|0|0|0|4096
0x5001c0,1024,0,3835,0|0|0|0|4096
0x5001d0,1024,0,3801,0|0|0|0|4096
0x5001e0,1024,0,3755,0|0|0|0|4096
0x5001f0,1024,0,3721,0|0|0|0|4096
0x500200,1024,0,3687,0|0|0|0|4096
0x500210,1024,0,3653,0|0|0|0|4096
0x500220,3072,0,0,0|-13|-24|0|4096
0x500230,1024,0,113,0|0|0|0|4096
0x500240,1024,0,102,0|0|0|0|4096
0x500250,1024,0,91,0|0|0|0|4096
0x500260,1024,0,79,0|0|0|0|4096
0x500270,3060,0,159,0|-17|-17|0|4096
0x500280,3060,0,125,0|-17|-17|0|4096
0x500290,3072,0,91,0|-17|-17|0|4096
0x5002a0,3060,0,45,0|-17|-17|0|4096
0x5002b0,3060,0,11,0|-17|-17|0|4096
0x5002c0,3060,0,4085,0|-17|-17|0|4096
0x5002d0,3060,0,4051,0|-17|-17|0|4096
0x5002e0,3072,0,4005,0|-17|-17|0|4096
0x5002f0,3072,0,3971,0|-17|-17|0|4096
0x500300,3060,0,3937,0|-17|-17|0|4096
0x500310,0,3084,3573,0|0|0|0|4096
0x500320,0,3084,3584,0|0|0|0|4096
0x500330,0,3072,3596,0|0|0|0|4096
0x500340,0,3084,3607,0|0|0|0|4096
0x500350,0,3084,3619,0|0|0|0|4096
0x500360,0,3084,3630,0|0|0|0|4096
0x500370,0,3072,3641,0|0|0|0|4096
0x500380,0,3084,159,0|-3|13|0|4096
0x500390,0,3084,147,0|-3|13|0|4096
0x5003a0,0,3084,136,0|-3|13|0|4096
0x5003b0,0,3072,125,0|-3|13|0|4096
0x5003c0,0,3084,125,0|-3|13|0|4096
0x5003d0,0,3084,113,0|-3|13|0|4096
0x5003e0,3060,0,819,0|0|11|0|4096
0x5003f0,3060,0,466,0|0|11|0|4096
0x500400,3060,0,295,0|0|11|0|4096
0x500410,3060,0,125,0|0|11|0|4096
0x500420,3072,0,4051,0|0|11|0|4096
0x500430,3072,0,3880,0|0|11|0|4096
0x500440,3072,0,3710,0|0|11|0|4096
0x500450,3072,0,3539,0|0|11|0|4096
0x500460,3060,0,3368,0|0|11|0|4096
0x500470,1024,0,204,0|0|0|0|4096
0x500480,0,0,0,0|0|0|0|4096
0x500490,64,0,2444,0|0|0|0|0
0x5004a0,64,44,20,7|0|0|0|0
0x5004b0,748,0,4,0|132|0|0|0
0x5004d0,-1,-1,0,0|1|2|3|4
0x5004e0,5,6,7,1|9|10|11|12
0x5004f0,13,14,1,16|17|18|18|20
0x500500,21,22,23,24|22|26|22|28
0x500510,29,30,31,32|33|22|35|22
0x500520,37,38,39,40|41|42|4|5
0x500530,7,8,11,12|14|15|18|19
